,URL,age
0,https://olx.pl-1615317503.online/order.php?id=1615375515...,1.0
1,https://olx.pl-id1615399102.online/ssl/ipko.php...,1.0
2,https://olx.pl-id1615399105.online/ssl/ipko.php...,1.0
3,https://gdwsdfsgdgdhg.wixsite.com/my-site,9.005479452054795
4,https://olx.pl-id1615399204.online/ssl/ipko.php...,1.0
5,https://olx.pl-id1615399107.online/ssl/ipko.php...,1.0
6,https://olx.pl-id1615399106.online/ssl/ipko.php...,1.0
7,https://olx.pl-1615317507.online/ssl/ipko.php,1.0
8,https://olx.pl-1615317504.online/ssl/ipko.php,1.0
9,https://olx.pl-1615317503.online/ssl/ipko.php,1.0
10,https://olx.pl-id1615399102.online/ssl/,1.0
11,https://olx.pl-id1615399105.online/ssl/,1.0
12,https://olx.pl-id1615399204.online/ssl/,1.0
13,https://olx.pl-id1615399107.online/ssl/,1.0
14,https://olx.pl-id1615399106.online/ssl/,1.0
15,https://olx.pl-1615317507.online/ssl/,1.0
16,https://olx.pl-1615317504.online/ssl/,1.0
17,https://olx.pl-1615317503.online/ssl/,1.0
18,https://messages-vocaux8.yolasite.com/,0.0
19,https://olx.pl-btc24.site,0.0
20,https://myee-actionsecure.com/,1.0
21,https://vodafone.refer-payment.com/account/index?a=2...,1.0
22,https://paym-olx.pw,1.0
23,https://olx.pl.playse.ru,1.0
24,https://amazon.amazomoaz.top/,1.0
25,https://process-mybill-ee.info/Login.php?ssl,1.0
26,https://account-mobile.yolasite.com/,0.0
27,https://safety-dostawa.biz/ipko1615137180405573...,1.0
28,https://dkb-update20210310.com/dkb/d40b9668102bcc3/login.php...,1.0
29,https://bt35.weebly.com/,15.008219178082191
30,http://www.bt35.weebly.com/,15.008219178082191
31,https://safety-dostawa.com/ipko1615137180405573...,1.0
32,https://olx-pl.pay-id57438.me/1615393206292/receive...,1.0
33,https://safety-dostawa.com,1.0
34,https://766-kinggsnnsjjmicr0sft-mmmsh8.godaddysites.com/...,8.005479452054795
35,https://gdgdgdhgvhhg.wixsite.com/my-site,9.005479452054795
36,https://shattershatter.com/wp-content/plugins/716/mailquota2019/source...,1.0
37,https://retuken.rekutennosd.top/,1.0
38,http://oldriverclocks.top/,1.0
39,http://oldriverclocks.top,1.0
40,http://garsideinsulation.top/otp2.php,1.0
41,http://elearnbusiness.top/o.php,1.0
42,http://myadultgames.top/b.php,1.0
43,http://apkfolder.net/wp-content/uploads/2021/03/mkbbssl...,3.0027397260273974
44,http://cedia.com.ua/mk/mkbbssl/2c0088d42991644fe680f031e7696600/...,20.197260273972603
