,Unnamed: 0,URL,domain_name
0,0,https://olx.pl-1615317503.online/order.php?id=1615375515...,Namecheap
1,1,https://olx.pl-id1615399102.online/ssl/ipko.php...,Namecheap
2,2,https://olx.pl-id1615399105.online/ssl/ipko.php...,Namecheap
3,3,https://gdwsdfsgdgdhg.wixsite.com/my-site,"GoDaddy.com, LLC"
4,4,https://olx.pl-id1615399204.online/ssl/ipko.php...,Namecheap
5,5,https://olx.pl-id1615399107.online/ssl/ipko.php...,Namecheap
6,6,https://olx.pl-id1615399106.online/ssl/ipko.php...,Namecheap
7,7,https://olx.pl-1615317507.online/ssl/ipko.php,Namecheap
8,8,https://olx.pl-1615317504.online/ssl/ipko.php,Namecheap
9,9,https://olx.pl-1615317503.online/ssl/ipko.php,Namecheap
10,10,https://olx.pl-id1615399102.online/ssl/,Namecheap
11,11,https://olx.pl-id1615399105.online/ssl/,Namecheap
12,12,https://olx.pl-id1615399204.online/ssl/,Namecheap
13,13,https://olx.pl-id1615399107.online/ssl/,Namecheap
14,14,https://olx.pl-id1615399106.online/ssl/,Namecheap
15,15,https://olx.pl-1615317507.online/ssl/,Namecheap
16,16,https://olx.pl-1615317504.online/ssl/,Namecheap
17,17,https://olx.pl-1615317503.online/ssl/,Namecheap
18,18,https://messages-vocaux8.yolasite.com/,
19,19,https://olx.pl-btc24.site,
20,20,https://myee-actionsecure.com/,"NameCheap, Inc."
21,21,https://vodafone.refer-payment.com/account/index?a=2...,PDR Ltd. d/b/a PublicDomainRegistry.com
22,22,https://paym-olx.pw,Beget LLC
23,23,https://olx.pl.playse.ru,REGRU-RU
24,24,https://amazon.amazomoaz.top/,"NameSilo,LLC"
25,25,https://process-mybill-ee.info/Login.php?ssl,"NameCheap, Inc"
26,26,https://account-mobile.yolasite.com/,
27,27,https://safety-dostawa.biz/ipko1615137180405573...,PDR Ltd. d/b/a PublicDomainRegistry.com
28,28,https://dkb-update20210310.com/dkb/d40b9668102bcc3/login.php...,"NameCheap, Inc."
29,29,https://bt35.weebly.com/,SafeNames Ltd.
30,30,http://www.bt35.weebly.com/,SafeNames Ltd.
31,31,https://safety-dostawa.com/ipko1615137180405573...,PDR Ltd. d/b/a PublicDomainRegistry.com
32,32,https://olx-pl.pay-id57438.me/1615393206292/receive...,NAMECHEAP INC
